,mouse,Region ID,mpi,side,parent,daughter,genotype,treatment,sex,marker,forRemove,batch,Region Area,Logged Region Area
106,IM 334,"c(484682516, 964, 986, 971)",0.2,left,cc,"c(""ccb"", ""ee"", ""ccs"", ""fp"")",WT,mPFF,F,pSyn,"c(484682516, 964, 986, 971)",None,184377.4108,5.265707712
107,IM 338,"c(484682516, 964, 971, 986)",0.2,left,cc,"c(""ccb"", ""ee"", ""fp"", ""ccs"")",WT,mPFF,M,pSyn,"c(484682516, 964, 971, 986)",None,191178.1225,5.281438192
108,IM 341,"c(964, 484682516, 986)",0.2,left,cc,"c(""ee"", ""ccb"", ""ccs"")",WT,mPFF,F,pSyn,"c(964, 484682516, 986)",None,209810.1188,5.32182643
109,IM 331,1108,0.2,left,ccg,ccg,WT,mPFF,M,pSyn,1108,None,518773.1087,5.714977456
110,IM 334,1108,0.2,left,ccg,ccg,WT,mPFF,F,pSyn,1108,None,475320.3106,5.676986372
111,IM 338,1108,0.2,left,ccg,ccg,WT,mPFF,M,pSyn,1108,None,523602.2435,5.719001499
112,IM 341,1108,0.2,left,ccg,ccg,WT,mPFF,F,pSyn,1108,None,587248.4599,5.768821886
113,IM 331,"c(544, 551, 559)",0.2,left,CEA,"c(""CEAc"", ""CEAl"", ""CEAm"")",WT,mPFF,M,pSyn,"c(544, 551, 559)",None,66966.24792,4.825855966
114,IM 334,"c(544, 551, 559)",0.2,left,CEA,"c(""CEAc"", ""CEAl"", ""CEAm"")",WT,mPFF,F,pSyn,"c(544, 551, 559)",None,79437.53478,4.900025758
115,IM 338,"c(544, 551, 559)",0.2,left,CEA,"c(""CEAc"", ""CEAl"", ""CEAm"")",WT,mPFF,M,pSyn,"c(544, 551, 559)",None,89503.71649,4.951841069
116,IM 341,"c(544, 551, 559)",0.2,left,CEA,"c(""CEAc"", ""CEAl"", ""CEAm"")",WT,mPFF,F,pSyn,"c(544, 551, 559)",None,97558.15593,4.989263583
117,IM 331,940,0.2,left,cing,cing,WT,mPFF,M,pSyn,940,None,87407.07382,4.941546581
118,IM 334,940,0.2,left,cing,cing,WT,mPFF,F,pSyn,940,None,86560.72852,4.937320903
119,IM 338,940,0.2,left,cing,cing,WT,mPFF,M,pSyn,940,None,91831.91869,4.962993658
120,IM 341,940,0.2,left,cing,cing,WT,mPFF,F,pSyn,940,None,96518.54267,4.984610756
121,IM 331,575,0.2,left,CL,CL,WT,mPFF,M,pSyn,575,None,126918.0003,5.103523221
122,IM 334,575,0.2,left,CL,CL,WT,mPFF,F,pSyn,575,None,120508.372,5.081017219
123,IM 338,575,0.2,left,CL,CL,WT,mPFF,M,pSyn,575,None,126554.9723,5.102279213
124,IM 341,575,0.2,left,CL,CL,WT,mPFF,F,pSyn,575,None,131268.4999,5.118160522
125,IM 331,583,0.2,left,CLA,CLA,WT,mPFF,M,pSyn,583,None,69245.6821,4.840392698
126,IM 334,583,0.2,left,CLA,CLA,WT,mPFF,F,pSyn,583,None,68959.88466,4.838596526
127,IM 338,583,0.2,left,CLA,CLA,WT,mPFF,M,pSyn,583,None,68459.41179,4.835433163
128,IM 341,583,0.2,left,CLA,CLA,WT,mPFF,F,pSyn,583,None,70919.70955,4.850766948
129,IM 331,591,0.2,left,CLI,CLI,WT,mPFF,M,pSyn,591,None,12427.75884,4.094392818
130,IM 334,591,0.2,left,CLI,CLI,WT,mPFF,F,pSyn,591,None,11660.62662,4.06672189
131,IM 338,591,0.2,left,CLI,CLI,WT,mPFF,M,pSyn,591,None,12816.77101,4.107778625
132,IM 331,599,0.2,left,CM,CM,WT,mPFF,M,pSyn,599,None,73161.46207,4.864282376
133,IM 334,599,0.2,left,CM,CM,WT,mPFF,F,pSyn,599,None,54575.02891,4.736993974
134,IM 338,599,0.2,left,CM,CM,WT,mPFF,M,pSyn,599,None,77655.71261,4.890173409
135,IM 341,599,0.2,left,CM,CM,WT,mPFF,F,pSyn,599,None,69640.35151,4.842860955
136,IM 331,639,0.2,left,COA,COAa,WT,mPFF,M,pSyn,639,None,136437.4171,5.134933489
137,IM 334,639,0.2,left,COA,COAa,WT,mPFF,F,pSyn,639,None,173634.5132,5.239636054
138,IM 338,639,0.2,left,COA,COAa,WT,mPFF,M,pSyn,639,None,199239.7547,5.299375998
139,IM 341,639,0.2,left,COA,COAa,WT,mPFF,F,pSyn,639,None,145414.7947,5.162608595
140,IM 331,"c(655, 663)",0.2,left,COAp,"c(""COApl"", ""COApm"")",WT,mPFF,M,pSyn,"c(655, 663)",None,233414.0445,5.368126984
141,IM 334,"c(655, 663)",0.2,left,COAp,"c(""COApl"", ""COApm"")",WT,mPFF,F,pSyn,"c(655, 663)",None,205050.5361,5.311860909
142,IM 338,"c(655, 663)",0.2,left,COAp,"c(""COApl"", ""COApm"")",WT,mPFF,M,pSyn,"c(655, 663)",None,262980.8895,5.41992419
143,IM 341,"c(655, 663)",0.2,left,COAp,"c(""COApl"", ""COApm"")",WT,mPFF,F,pSyn,"c(655, 663)",None,116317.8458,5.065646351
144,IM 331,672,0.2,left,CP,CP,WT,mPFF,M,pSyn,672,None,1396801.814,6.14513479
145,IM 334,672,0.2,left,CP,CP,WT,mPFF,F,pSyn,672,None,1492002.009,6.173769408
146,IM 338,672,0.2,left,CP,CP,WT,mPFF,M,pSyn,672,None,1495849.395,6.17488787
